[2026/01/13 04:53:21 PM] Strategy: opfuzz, 2 testing targets, 999 seeds
[2026/01/13 04:53:22 PM] Performed 8 solver calls (6.4 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:53:24 PM] Performed 24 solver calls (7.0 calls/s, eff: 50.0%, 3.5 mutants/s)
[2026/01/13 04:53:28 PM] Performed 40 solver calls (5.4 calls/s, eff: 50.0%, 2.7 mutants/s)
[2026/01/13 04:53:30 PM] Performed 54 solver calls (5.7 calls/s, eff: 50.0%, 2.8 mutants/s)
[2026/01/13 04:53:32 PM] Performed 68 solver calls (5.8 calls/s, eff: 50.0%, 2.9 mutants/s)
[2026/01/13 04:53:34 PM] Performed 84 solver calls (6.0 calls/s, eff: 50.0%, 3.0 mutants/s)
[2026/01/13 04:53:37 PM] Performed 98 solver calls (6.1 calls/s, eff: 50.0%, 3.0 mutants/s)
[2026/01/13 04:53:39 PM] Performed 112 solver calls (6.2 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:53:41 PM] Performed 128 solver calls (6.3 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:53:43 PM] Performed 146 solver calls (6.5 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:53:45 PM] Performed 162 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:53:47 PM] Performed 178 solver calls (6.7 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:53:49 PM] Performed 194 solver calls (6.8 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:53:51 PM] Performed 210 solver calls (6.9 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:53:53 PM] Performed 226 solver calls (6.9 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:53:56 PM] Performed 238 solver calls (6.8 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:53:58 PM] Performed 250 solver calls (6.7 calls/s, eff: 50.0%, 3.4 mutants/s)
[2026/01/13 04:54:00 PM] Performed 260 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:02 PM] Performed 262 solver calls (6.3 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:05 PM] Performed 274 solver calls (6.2 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:07 PM] Performed 288 solver calls (6.2 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:09 PM] Performed 304 solver calls (6.3 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:11 PM] Performed 316 solver calls (6.3 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:13 PM] Performed 328 solver calls (6.2 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:15 PM] Performed 342 solver calls (6.2 calls/s, eff: 50.0%, 3.1 mutants/s)
[2026/01/13 04:54:17 PM] Performed 360 solver calls (6.3 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:20 PM] Performed 378 solver calls (6.4 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:22 PM] Performed 394 solver calls (6.4 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:24 PM] Performed 410 solver calls (6.5 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:26 PM] Performed 426 solver calls (6.5 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:28 PM] Performed 442 solver calls (6.5 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:30 PM] Performed 456 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:32 PM] Performed 474 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:34 PM] Performed 490 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:37 PM] Performed 492 solver calls (6.5 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:39 PM] Performed 508 solver calls (6.5 calls/s, eff: 50.0%, 3.2 mutants/s)
[2026/01/13 04:54:41 PM] Performed 524 solver calls (6.5 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:43 PM] Performed 542 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:45 PM] Performed 560 solver calls (6.6 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:47 PM] Performed 578 solver calls (6.7 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:49 PM] Performed 594 solver calls (6.7 calls/s, eff: 50.0%, 3.3 mutants/s)
[2026/01/13 04:54:51 PM] [1m[91mDetected soundness bug! /home/jcabala/fyp/new_repos/smt-solver/experiments/opfuzz/bugs/incorrect-z3-uf20-0750-w2jY0.smt2[0m
[2026/01/13 04:54:51 PM] Performed 604 solver calls (6.6 calls/s, eff: 50.2%, 3.3 mutants/s)
[2026/01/13 04:54:53 PM] Performed 620 solver calls (6.7 calls/s, eff: 50.2%, 3.3 mutants/s)
